cod_mun_ibge_6;cod_mun_ibge_7;municipio;UF;populacao;obitos_infantis;nascidos_vivos;TMI;ANO
520870;5208707;Goiânia;GO;1437366;233;18698;12.461225799550755;2021
520880;5208806;Goianira;GO;71916;13;926;14.038876889848812;2021
520890;5208905;Goiás;GO;24071;4;213;18.779342723004696;2021
520910;5209101;Goiatuba;GO;35664;4;419;9.546539379474941;2021
520915;5209150;Gouvelândia;GO;4390;0;45;0.0;2021
520920;5209200;Guapó;GO;19545;2;213;9.389671361502348;2021
520929;5209291;Guaraíta;GO;2188;0;12;0.0;2021
520940;5209408;Guarani de Goiás;GO;4085;1;43;23.25581395348837;2021
520945;5209457;Guarinos;GO;2161;0;22;0.0;2021
520960;5209606;Heitoraí;GO;3354;1;34;29.41176470588235;2021
520970;5209705;Hidrolândia;GO;27742;4;319;12.539184952978056;2021
520980;5209804;Hidrolina;GO;3545;1;39;25.64102564102564;2021
520990;5209903;Iaciara;GO;10584;1;178;5.617977528089887;2021
520993;5209937;Inaciolândia;GO;5954;1;55;18.18181818181818;2021
520995;5209952;Indiara;GO;17061;3;200;15.0;2021
521000;5210000;Inhumas;GO;52204;10;600;16.666666666666668;2021
521010;5210109;Ipameri;GO;25548;2;303;6.600660066006601;2021
521015;5210158;Ipiranga de Goiás;GO;2919;0;29;0.0;2021
521020;5210208;Iporá;GO;35684;3;403;7.444168734491315;2021
