cod_mun_ibge_6;ANO;UF;municipio;populacao;TMI;COBERTURA_PRENATAL;TAXA_MEDICOS;PROP_CESAREOS;PROP_MAL_DEFINIDAS;DOENCAS_CRONICAS
521925;2021;GO;Santa Fé de Goiás;4951;0.0;80.32786885245902;0.4039587962027873;65.57377049180327;3.3333333333333335;2.0197939810139363
521925;2022;GO;Santa Fé de Goiás;4951;0.0;86.11111111111111;0.4039587962027873;83.33333333333334;5.405405405405405;4.0395879620278725
521930;2021;GO;Santa Helena de Goiás;38492;12.76595744680851;77.4468085106383;0.0519588485919152;64.46808510638297;0.9302325581395349;11.690740933180921
521930;2022;GO;Santa Helena de Goiás;38492;12.448132780082986;76.97095435684648;0.0519588485919152;64.31535269709543;0.33112582781456956;13.249506390938377
521935;2021;GO;Santa Isabel;3538;0.0;94.11764705882352;0.5652911249293385;73.52941176470588;0.0;2.8264556246466928
521935;2022;GO;Santa Isabel;3538;0.0;80.0;0.5652911249293385;75.0;0.0;8.479366873940078
521940;2021;GO;Santa Rita do Araguaia;5924;0.0;88.52459016393442;0.1688048615800135;90.1639344262295;15.909090909090908;3.37609723160027
521940;2022;GO;Santa Rita do Araguaia;5924;14.084507042253522;83.09859154929578;0.337609723160027;91.54929577464789;10.869565217391305;1.688048615800135
521945;2021;GO;Santa Rita do Novo Destino;2689;34.48275862068965;55.172413793103445;0.3718854592785422;93.10344827586206;0.0;14.875418371141688
521945;2022;GO;Santa Rita do Novo Destino;2689;50.0;55.00000000000001;0.3718854592785422;90.0;0.0;7.437709185570844
521950;2021;GO;Santa Rosa de Goiás;2820;0.0;63.888888888888886;0.7092198581560284;83.33333333333334;0.0;14.184397163120568
521950;2022;GO;Santa Rosa de Goiás;2820;0.0;71.42857142857143;0.7092198581560284;73.80952380952381;0.0;21.27659574468085
521960;2021;GO;Santa Tereza de Goiás;3293;0.0;77.14285714285715;0.6073489219556636;80.0;8.333333333333332;39.477679927118125
521960;2022;GO;Santa Tereza de Goiás;3293;48.78048780487805;80.48780487804879;0.6073489219556636;87.8048780487805;9.090909090909092;21.257212268448225
521970;2021;GO;Santa Terezinha de Goiás;10645;9.615384615384617;61.53846153846154;0.18788163457022075;49.03846153846153;0.9009009009009009;13.151714419915454
